S_Label,S_Code,S_CUI,S_Depth,Pre_Label,Pre-Code,Pre_CUI,Pre_Depth,Post_Label,Post_Code,Post_CUI,Post_Depth
"Tuberculous pneumothorax, bacteriological or histological examination not done",011.71,C0152601,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",011.72,C0152602,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",011.73,C0152603,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.74,C0152604,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.75,C0152605,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.76,C0152606,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Other specified pulmonary tuberculosis,011.8,C0152607,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified pulmonary tuberculosis, unspecified",011.80,C0374954,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",011.81,C0152608,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",011.82,C0152609,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",011.83,C0152610,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.84,C0152611,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.85,C0152612,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.86,C0152613,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Unspecified pulmonary tuberculosis,011.9,C0041327,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Pulmonary tuberculosis, unspecified, unspecified",011.90,C0041327,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",011.91,C0152614,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",011.92,C0152615,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",011.93,C0152616,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.94,C0152617,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.95,C0152618,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.96,C0152619,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Other respiratory tuberculosis,012,C0152620,4,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous pleurisy,012.0,C0041326,5,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
"Tuberculous pleurisy, unspecified",012.00,C0041326,6,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
"Tuberculous pleurisy, bacteriological or histological examination not done",012.01,C0152621,6,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",012.02,C0152622,6,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",012.03,C0152623,6,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",012.04,C0152624,6,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",012.05,C0152625,6,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",012.06,C0152626,6,Tuberculous pleurisy,012.0,C0041326,5,"Tuberculosis, Pleural",D014396,C0041326,6
Tuberculosis of intrathoracic lymph nodes,012.1,C0152627,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of intrathoracic lymph nodes, unspecified",012.10,C0152627,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",012.11,C0152628,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",012.12,C0152629,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",012.13,C0152630,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",012.14,C0152631,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",012.15,C0152632,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",012.16,C0152633,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Isolated tracheal or bronchial tuberculosis,012.2,C0152634,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Isolated tracheal or bronchial tuberculosis, unspecified",012.20,C0152634,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",012.21,C0152635,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",012.22,C0152636,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",012.23,C0152637,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",012.24,C0152638,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",012.25,C0152639,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",012.26,C0152640,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous laryngitis,012.3,C0041315,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous laryngitis, unspecified",012.30,C0374955,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous laryngitis, bacteriological or histological examination not done",012.31,C0152641,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",012.32,C0152642,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",012.33,C0152643,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",012.34,C0152644,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",012.35,C0152645,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",012.36,C0152646,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Other specified respiratory tuberculosis,012.8,C0152647,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified respiratory tuberculosis, unspecified",012.80,C0152647,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified respiratory tuberculosis, bacteriological or histological examination not done",012.81,C0152648,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",012.82,C0152649,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",012.83,C0152650,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",012.84,C0152651,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",012.85,C0152652,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",012.86,C0152653,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculosis of meninges and central nervous system,013,C0152654,4,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous meningitis,013.0,C0041318,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous meningitis, unspecified",013.00,C0041318,6,"Tuberculous meningitis, unspecified",013.00,C0041318,6,"Tuberculosis, Meningeal",D014390,C0041318,8
"Tuberculous meningitis, bacteriological or histological examination not done",013.01,C0152655,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous meningitis, bacteriological or histological examination unknown (at present)",013.02,C0152656,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy",013.03,C0152657,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",013.04,C0152658,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",013.05,C0152659,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",013.06,C0152660,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculoma of meninges,013.1,C0152661,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of meninges, unspecified",013.10,C0152661,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of meninges, bacteriological or histological examination not done",013.11,C0152662,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)",013.12,C0152663,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy",013.13,C0152664,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",013.14,C0152665,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",013.15,C0152666,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",013.16,C0152667,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculoma of brain,013.2,C0085388,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of brain, unspecified",013.20,C0085388,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of brain, bacteriological or histological examination not done",013.21,C0152669,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of brain, bacteriological or histological examination unknown (at present)",013.22,C0152670,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy",013.23,C0152671,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",013.24,C0152672,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",013.25,C0152673,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",013.26,C0152674,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous abscess of brain,013.3,C2607948,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous abscess of brain, unspecified",013.30,C0374958,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous abscess of brain, bacteriological or histological examination not done",013.31,C0152676,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)",013.32,C0152677,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy",013.33,C0152678,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",013.34,C0152679,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",013.35,C0152680,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",013.36,C0152681,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculoma of spinal cord,013.4,C0338439,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of spinal cord, unspecified",013.40,C0338439,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of spinal cord, bacteriological or histological examination not done",013.41,C0152683,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)",013.42,C0152684,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy",013.43,C0152685,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
